customer_id,total_purchases,total_quantity,total_price,avg_order_value,purchase_frequency,profit_margin,customer_value,churn_rate,cltv_f,segment,Category
28656,11,41,38428,3493,0.00022,3842.8,0.76846,0.32792,9005.361332032204,1,Category A
38915,9,30,34718,3857,0.00018,3471.8,0.69426,0.32792,7350.365540375702,1,Category A
18622,9,36,33825,3758,0.00018,3382.5,0.67644,0.32792,6977.489326665041,1,Category A
45636,9,23,33451,3716,0.00018,3345.1000000000004,0.66888,0.32792,6823.220565991706,1,Category A
27242,10,41,33336,3333,0.0002,3333.6000000000004,0.6666000000000001,0.32792,6776.585020736767,1,Category A
49785,9,23,33209,3689,0.00018,3320.9,0.66402,0.32792,6724.640211027081,1,Category A
13805,10,33,32983,3298,0.0002,3298.3,0.6596000000000001,0.32792,6634.419004635278,1,Category A
9831,9,26,32218,3579,0.00018,3221.8,0.64422,0.32792,6329.43399609661,1,Category A
39895,8,18,31366,3920,0.00016,3136.6000000000004,0.6272000000000001,0.32792,5999.254452305442,1,Category A
11395,8,29,31232,3904,0.00016,3123.2000000000003,0.6246400000000001,0.32792,5949.242644547452,1,Category A
42694,8,22,30836,3854,0.00016,3083.6000000000004,0.6166400000000001,0.32792,5798.582288363017,1,Category A
13400,10,28,30685,3068,0.0002,3068.5,0.6136,0.32792,5741.740668455722,1,Category A
37494,8,26,30589,3823,0.00016,3058.9,0.61168,0.32792,5705.867138326422,1,Category A
15046,7,21,30302,4328,0.00014,3030.2000000000003,0.6059199999999999,0.32792,5599.105830690412,1,Category A
16362,9,21,29529,3281,0.00018,2952.9,0.59058,0.32792,5318.137600634301,1,Category A
7821,9,28,29042,3226,0.00018,2904.2000000000003,0.5806800000000001,0.32792,5142.750841668701,1,Category A
42538,8,23,28937,3617,0.00016,2893.7000000000003,0.57872,0.32792,5106.861624786534,1,Category A
32386,8,24,28089,3511,0.00016,2808.9,0.56176,0.32792,4811.9287143205665,1,Category A
47136,8,29,27954,3494,0.00016,2795.4,0.5590400000000001,0.32792,4765.614832886071,1,Category A
26788,9,29,27835,3092,0.00018,2783.5,0.55656,0.32792,4724.276530861186,1,Category A
44588,8,28,27788,3473,0.00016,2778.8,0.5556800000000001,0.32792,4708.842351793121,1,Category A
39296,7,12,27781,3968,0.00014,2778.1000000000004,0.5555199999999999,0.32792,4706.300658697243,1,Category A
48156,7,21,27678,3954,0.00014,2767.8,0.5535599999999999,0.32792,4672.308392290803,1,Category A
17653,9,28,27660,3073,0.00018,2766,0.5531400000000001,0.32792,4665.7271285679435,1,Category A
11675,7,27,27655,3950,0.00014,2765.5,0.5529999999999999,0.32792,4663.703037326177,1,Category A
26259,7,20,27642,3948,0.00014,2764.2000000000003,0.55272,0.32792,4659.150475725787,1,Category A
35326,7,19,27584,3940,0.00014,2758.4,0.5516,0.32792,4639.953159307148,1,Category A
40844,9,31,27568,3063,0.00018,2756.8,0.55134,0.32792,4635.07596974872,1,Category A
7240,9,29,27393,3043,0.00018,2739.3,0.54774,0.32792,4575.579964625519,1,Category A
12913,7,20,27373,3910,0.00014,2737.3,0.5474,0.32792,4569.40113442303,1,Category A
14355,7,22,27288,3898,0.00014,2728.8,0.54572,0.32792,4541.231812637229,1,Category A
36907,7,15,27046,3863,0.00014,2704.6000000000004,0.54082,0.32792,4460.544559648695,1,Category A
14281,10,28,27038,2703,0.0002,2703.8,0.5406000000000001,0.32792,4457.411197853136,1,Category A
29491,7,20,26979,3854,0.00014,2697.9,0.5395599999999999,0.32792,4439.128214198585,1,Category A
14066,8,29,26976,3372,0.00016,2697.6000000000004,0.53952,0.32792,4438.305537936083,1,Category A
48718,7,24,26786,3826,0.00014,2678.6000000000004,0.53564,0.32792,4375.351622346914,1,Category A
15393,9,29,26730,2970,0.00018,2673,0.5346000000000001,0.32792,4357.726884606002,1,Category A
13635,7,20,26610,3801,0.00014,2661,0.53214,0.32792,4318.2012076116125,1,Category A
7984,10,23,26600,2660,0.0002,2660,0.532,0.32792,4315.442790924616,1,Category A
44664,7,21,26528,3789,0.00014,2652.8,0.5304599999999999,0.32792,4291.303635032935,1,Category A
46078,7,23,26494,3784,0.00014,2649.4,0.52976,0.32792,4280.148036106368,1,Category A
8815,7,20,26386,3769,0.00014,2638.6000000000004,0.5276599999999999,0.32792,4245.802866552817,1,Category A
21890,7,18,26210,3744,0.00014,2621,0.52416,0.32792,4189.50768480117,1,Category A
43417,8,26,26142,3267,0.00016,2614.2000000000003,0.5227200000000001,0.32792,4167.1585264698715,1,Category A
22586,6,16,26037,4339,0.00012,2603.7000000000003,0.52068,0.32792,4134.223334959747,1,Category A
